year,ticker,chart_type,interval,status,ready_for_backtest,rows,start,end,file,issues
2000,BBDC3,candles,1d,ok,sim,242,2000-01-03,2000-12-28,data\yearly\2000\candles\1d\bbdc3_1d.csv,
2000,GGBR3,candles,1d,ok,sim,65,2000-05-19,2000-12-28,data\yearly\2000\candles\1d\ggbr3_1d.csv,
2000,PETR4,candles,1d,ok,sim,241,2000-01-03,2000-12-28,data\yearly\2000\candles\1d\petr4_1d.csv,
2000,TUPY3,candles,1d,ok,sim,2,2000-12-11,2000-12-20,data\yearly\2000\candles\1d\tupy3_1d.csv,
2000,VALE3,candles,1d,ok,sim,238,2000-01-03,2000-12-28,data\yearly\2000\candles\1d\vale3_1d.csv,
2000,BBDC3,candles,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\candles\1wk\bbdc3_1wk.csv,
2000,GGBR3,candles,1sem,ok,sim,25,2000-05-15,2000-12-25,data\yearly\2000\candles\1wk\ggbr3_1wk.csv,
2000,PETR4,candles,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\candles\1wk\petr4_1wk.csv,
2000,TUPY3,candles,1sem,ok,sim,2,2000-12-11,2000-12-18,data\yearly\2000\candles\1wk\tupy3_1wk.csv,
2000,VALE3,candles,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\candles\1wk\vale3_1wk.csv,
2000,BBDC3,heikin_ashi,1d,ok,sim,242,2000-01-03,2000-12-28,data\yearly\2000\heikin_ashi\1d\bbdc3_1d.csv,
2000,GGBR3,heikin_ashi,1d,ok,sim,65,2000-05-19,2000-12-28,data\yearly\2000\heikin_ashi\1d\ggbr3_1d.csv,
2000,PETR4,heikin_ashi,1d,ok,sim,241,2000-01-03,2000-12-28,data\yearly\2000\heikin_ashi\1d\petr4_1d.csv,
2000,TUPY3,heikin_ashi,1d,ok,sim,2,2000-12-11,2000-12-20,data\yearly\2000\heikin_ashi\1d\tupy3_1d.csv,
2000,VALE3,heikin_ashi,1d,ok,sim,238,2000-01-03,2000-12-28,data\yearly\2000\heikin_ashi\1d\vale3_1d.csv,
2000,BBDC3,heikin_ashi,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\heikin_ashi\1wk\bbdc3_1wk.csv,
2000,GGBR3,heikin_ashi,1sem,ok,sim,25,2000-05-15,2000-12-25,data\yearly\2000\heikin_ashi\1wk\ggbr3_1wk.csv,
2000,PETR4,heikin_ashi,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\heikin_ashi\1wk\petr4_1wk.csv,
2000,TUPY3,heikin_ashi,1sem,ok,sim,2,2000-12-11,2000-12-18,data\yearly\2000\heikin_ashi\1wk\tupy3_1wk.csv,
2000,VALE3,heikin_ashi,1sem,ok,sim,52,2000-01-03,2000-12-25,data\yearly\2000\heikin_ashi\1wk\vale3_1wk.csv,
2001,BBDC3,candles,1d,ok,sim,241,2001-01-02,2001-12-28,data\yearly\2001\candles\1d\bbdc3_1d.csv,
2001,GGBR3,candles,1d,ok,sim,36,2001-01-05,2001-12-12,data\yearly\2001\candles\1d\ggbr3_1d.csv,
2001,PETR4,candles,1d,ok,sim,241,2001-01-02,2001-12-28,data\yearly\2001\candles\1d\petr4_1d.csv,
2001,TUPY3,candles,1d,ok,sim,8,2001-01-17,2001-12-28,data\yearly\2001\candles\1d\tupy3_1d.csv,
2001,VALE3,candles,1d,ok,sim,239,2001-01-02,2001-12-28,data\yearly\2001\candles\1d\vale3_1d.csv,
2001,BBDC3,candles,1sem,ok,sim,53,2001-01-01,2001-12-31,data\yearly\2001\candles\1wk\bbdc3_1wk.csv,
2001,GGBR3,candles,1sem,ok,sim,25,2001-01-01,2001-12-31,data\yearly\2001\candles\1wk\ggbr3_1wk.csv,
2001,PETR4,candles,1sem,ok,sim,53,2001-01-01,2001-12-31,data\yearly\2001\candles\1wk\petr4_1wk.csv,
2001,TUPY3,candles,1sem,ok,sim,6,2001-01-15,2001-12-24,data\yearly\2001\candles\1wk\tupy3_1wk.csv,
2001,VALE3,candles,1sem,ok,sim,53,2001-01-01,2001-12-31,data\yearly\2001\candles\1wk\vale3_1wk.csv,
2001,BBDC3,heikin_ashi,1d,ok,sim,241,2001-01-02,2001-12-28,data\yearly\2001\heikin_ashi\1d\bbdc3_1d.csv,
2001,GGBR3,heikin_ashi,1d,ok,sim,36,2001-01-05,2001-12-12,data\yearly\2001\heikin_ashi\1d\ggbr3_1d.csv,
2001,PETR4,heikin_ashi,1d,ok,sim,241,2001-01-02,2001-12-28,data\yearly\2001\heikin_ashi\1d\petr4_1d.csv,
